surface,reading,source_ref,commonness_tier
毎晩,まいばん,tkg:00967_maiban,basic
みんな,みんな,tkg:02972_minna,basic
向こう,むこう,tkg:00971_mukou,basic
木曜,もくよう,tkg:03163_mokuyou,basic
来月,らいげつ,tkg:00744_raigetsu,basic
来週,らいしゅう,tkg:00746_raishuu,basic
来年,らいねん,tkg:00745_rainen,basic
両親,りょうしん,tkg:00806_ryoushin,basic
両方,りょうほう,tkg:01750_ryouhou,basic
丘,おか,wnja:09303008-n,core
丼,どんぶり,wnja:02881193-n,core
仏,ほとけ,wnja:07945657-n,core
倍,ばい,wnja:05860200-n,core
傷,きず,wnja:00359238-n,core
光,ひかり,wnja:04263760-n,core
刀,かたな,wnja:02987492-n,core
券,けん,wnja:06518719-n,core
匙,さじ,wnja:03180384-n,core
友,とも,wnja:10112591-n,core
命,いのち,wnja:06556481-n,core
唇,くちびる,wnja:05305806-n,core
嘘,うそ,wnja:00751944-n,core
噂,うわさ,wnja:07223450-n,core
坂,さか,wnja:05068716-n,core
埃,ほこり,wnja:14839846-n,core
城,しろ,wnja:02980441-n,core
墓,はか,wnja:02921884-n,core
夢,ゆめ,wnja:05632732-n,core
奥,おく,wnja:08625846-n,core
姪,めい,wnja:10357613-n,core
嫁,よめ,wnja:09874618-n,core
孫,まご,wnja:10141590-n,core
宝,たから,wnja:08463969-n,core
実,み,wnja:04867130-n,core
害,がい,wnja:00744443-n,core
宿,やど,wnja:01054227-n,core
対,たい,wnja:07985223-n,core
尾,お,wnja:02157557-n,core
岸,きし,wnja:09213565-n,core
巣,す,wnja:04568713-n,core
後,のち,wnja:00725775-n,core
恩,おん,wnja:04640356-n,core
愛,あい,wnja:04627000-n,core
拳,こぶし,wnja:02802886-n,core
敵,てき,wnja:00217773-n,core
旅,たび,wnja:00312553-n,core
旗,はた,wnja:02788021-n,core
昔,むかし,wnja:15120823-n,core
林,はやし,wnja:08438533-n,core
根,ね,wnja:03387016-n,core
梅,うめ,wnja:07751451-n,core
棒,ぼう,wnja:02788689-n,core
椀,わん,wnja:02881193-n,core
楽,らく,wnja:07020895-n,core
橋,はし,wnja:02898711-n,core
櫛,くし,wnja:03074855-n,core
歌,うた,wnja:07048000-n,core
殻,から,wnja:01903756-n,core
氷,こおり,wnja:07614198-n,core
池,いけ,wnja:09397391-n,core
沼,ぬま,wnja:09347779-n,core
泡,あわ,wnja:09229709-n,core
波,なみ,wnja:07345593-n,core
泥,どろ,wnja:09355850-n,core
涙,なみだ,wnja:00868196-n,core
渦,うず,wnja:07433145-n,core
港,みなと,wnja:08633957-n,core
湖,みずうみ,wnja:09328904-n,core
滝,たき,wnja:09475292-n,core
灰,はい,wnja:14769160-n,core
炎,ほのお,wnja:03343560-n,core
煙,けむり,wnja:04761960-n,core
熱,ねつ,wnja:04634540-n,core
瓶,びん,wnja:02876657-n,core
癖,くせ,wnja:00414179-n,core
皺,しわ,wnja:13905792-n,core
盾,たて,wnja:04192698-n,core
眉,まゆ,wnja:05313535-n,core
瞳,ひとみ,wnja:05320183-n,core
瞼,まぶた,wnja:05313822-n,core
砂,すな,wnja:14700594-n,core
稲,いね,wnja:07804323-n,core
笛,ふえ,wnja:03372549-n,core
筆,ふで,wnja:00614224-n,core
箒,ほうき,wnja:02906734-n,core
管,くだ,wnja:03854815-n,core
粉,こな,wnja:03994008-n,core
粒,つぶ,wnja:09290777-n,core
粗,あら,wnja:05162642-n,core
綱,つな,wnja:02933842-n,core
縄,なわ,wnja:04108268-n,core
缶,かん,wnja:02946921-n,core
羊,ひつじ,wnja:02411705-n,core
芯,しん,wnja:04582044-n,core
苔,こけ,wnja:11537506-n,core
茸,きのこ,wnja:07734744-n,core
葱,ねぎ,wnja:07722485-n,core
蓋,ふた,wnja:01902368-n,core
蚊,か,wnja:02200198-n,core
蛙,かえる,wnja:01639765-n,core
蛾,が,wnja:02283201-n,core
蜂,はち,wnja:02206856-n,core
蝶,ちょう,wnja:00570854-n,core
蟻,あり,wnja:02219486-n,core
袋,ふくろ,wnja:02773037-n,core
裏,うら,wnja:00725775-n,core
角,つの,wnja:01325417-n,core
訳,わけ,wnja:05807012-n,core
諺,ことわざ,wnja:07152948-n,core
謎,なぞ,wnja:04028315-n,core
豆,まめ,wnja:07724943-n,core
豚,ぶた,wnja:02395003-n,core
貝,かい,wnja:01940736-n,core
踵,かかと,wnja:03511426-n,core
軒,のき,wnja:03263076-n,core
週,しゅう,wnja:15136147-n,core
運,うん,wnja:07316856-n,core
釘,くぎ,wnja:03804744-n,core
針,はり,wnja:03482523-n,core
鈴,すず,wnja:02824448-n,core
鋸,のこぎり,wnja:04140064-n,core
鎖,くさり,wnja:02999410-n,core
鏡,かがみ,wnja:03688832-n,core
陸,りく,wnja:13744722-n,core
頬,ほお,wnja:05602835-n,core
額,ひたい,wnja:05541231-n,core
顎,あご,wnja:02510769-n,core
餌,えさ,wnja:02776205-n,core
馬,うま,wnja:02374451-n,core
鬼,おに,wnja:09490825-n,core
鶏,にわとり,wnja:01791625-n,core
麦,むぎ,wnja:07803545-n,core
お礼,おれい,wnja:07228971-n,core
ご覧,ごらん,wnja:00879271-n,core
ばね,ばね,wnja:04288272-n,core
へら,へら,wnja:04269944-n,core
ぼろ,ぼろ,wnja:05162642-n,core
ジム,じむ,wnja:03472112-n,core
バス,ばす,wnja:02565573-n,core
ピザ,ぴざ,wnja:07873807-n,core
ミス,みす,wnja:00070965-n,core
一切,いっさい,wnja:05869584-n,core
一家,いっか,wnja:07971141-n,core
一時,いちじ,wnja:15246853-n,core
一生,いっしょう,wnja:13961399-n,core
上司,じょうし,wnja:09867956-n,core
上着,うわぎ,wnja:03057021-n,core
下り,くだり,wnja:00326440-n,core
下宿,げしゅく,wnja:01054227-n,core
下水,げすい,wnja:04179126-n,core
下痢,げり,wnja:14371913-n,core
下着,したぎ,wnja:04508163-n,core
下線,かせん,wnja:06801418-n,core
下駄,げた,wnja:03047690-n,core
不平,ふへい,wnja:07208708-n,core
不況,ふきょう,wnja:14013368-n,core
不足,ふそく,wnja:05113133-n,core
世論,せろん,wnja:05949726-n,core
中学,ちゅうがく,wnja:08409835-n,core
中心,ちゅうしん,wnja:00725506-n,core
中指,なかゆび,wnja:05567604-n,core
中身,なかみ,wnja:02848216-n,core
中間,ちゅうかん,wnja:05868272-n,core
主婦,しゅふ,wnja:10189776-n,core
乗客,じょうきゃく,wnja:10403876-n,core
乾杯,かんぱい,wnja:07884413-n,core
了解,りょうかい,wnja:06199142-n,core
予選,よせん,wnja:07240925-n,core
事故,じこ,wnja:07300960-n,core
五感,ごかん,wnja:05651971-n,core
交換,こうかん,wnja:00167063-n,core
人々,ひとびと,wnja:07942152-n,core
人参,にんじん,wnja:07730207-n,core
人形,にんぎょう,wnja:03219135-n,core
人生,じんせい,wnja:13961399-n,core
人間,にんげん,wnja:00007846-n,core
今後,こんご,wnja:15121625-n,core
仲間,なかま,wnja:05845888-n,core
休憩,きゅうけい,wnja:00188007-n,core
休日,きゅうじつ,wnja:15137047-n,core
会員,かいいん,wnja:08170686-n,core
住民,じゅうみん,wnja:08179879-n,core
作物,さくもつ,wnja:00933420-n,core
使用,しよう,wnja:00633329-n,core
依頼,いらい,wnja:07185325-n,core
便器,べんき,wnja:02821202-n,core
保証,ほしょう,wnja:06685754-n,core
信用,しんよう,wnja:04895246-n,core
倉庫,そうこ,wnja:03443543-n,core
個人,こじん,wnja:00007846-n,core
停止,ていし,wnja:01022483-n,core
停車,ていしゃ,wnja:01063697-n,core
健康,けんこう,wnja:13923779-n,core
傑作,けっさく,wnja:03727605-n,core
催促,さいそく,wnja:01061945-n,core
元日,がんじつ,wnja:15182189-n,core
充電,じゅうでん,wnja:09185612-n,core
先祖,せんぞ,wnja:09792555-n,core
先行,せんこう,wnja:15121625-n,core
先輩,せんぱい,wnja:10048218-n,core
光景,こうけい,wnja:05933054-n,core
克服,こくふく,wnja:00065216-n,core
児童,じどう,wnja:09917593-n,core
入力,にゅうりょく,wnja:07264820-n,core
全て,すべて,wnja:05869584-n,core
全体,ぜんたい,wnja:00003553-n,core
全身,ぜんしん,wnja:05219097-n,core
内部,ないぶ,wnja:08588152-n,core
再生,さいせい,wnja:01020770-n,core
冒険,ぼうけん,wnja:00796315-n,core
冗談,じょうだん,wnja:00431005-n,core
冷房,れいぼう,wnja:02686379-n,core
処理,しょり,wnja:13541167-n,core
出発,しゅっぱつ,wnja:00042757-n,core
切望,せつぼう,wnja:04945254-n,core
切符,きっぷ,wnja:06518719-n,core
列車,れっしゃ,wnja:02959942-n,core
初め,はじめ,wnja:05868051-n,core
別れ,わかれ,wnja:00053097-n,core
利息,りそく,wnja:13318584-n,core
到着,とうちゃく,wnja:00048374-n,core
刺身,さしみ,wnja:07879350-n,core
前日,ぜんじつ,wnja:15156424-n,core
前者,ぜんしゃ,wnja:13846356-n,core
前菜,ぜんさい,wnja:07581346-n,core
割引,わりびき,wnja:00362103-n,core
助手,じょしゅ,wnja:09815790-n,core
助言,じょげん,wnja:06650701-n,core
努力,どりょく,wnja:00621627-n,core
勇気,ゆうき,wnja:04838210-n,core
動物,どうぶつ,wnja:00015388-n,core
動画,どうが,wnja:06277803-n,core
勝ち,かち,wnja:07473441-n,core
匂い,におい,wnja:00882961-n,core
包丁,ほうちょう,wnja:03623556-n,core
包帯,ほうたい,wnja:02785648-n,core
化粧,けしょう,wnja:03169390-n,core
半ば,なかば,wnja:05868272-n,core
印刷,いんさつ,wnja:06590210-n,core
印象,いんしょう,wnja:00113532-n,core
危険,きけん,wnja:00802238-n,core
原稿,げんこう,wnja:06390962-n,core
友人,ゆうじん,wnja:10112591-n,core
友情,ゆうじょう,wnja:04653627-n,core
双子,ふたご,wnja:10734394-n,core
口実,こうじつ,wnja:06741305-n,core
口座,こうざ,wnja:13359690-n,core
口紅,くちべに,wnja:03676483-n,core
司会,しかい,wnja:10299250-n,core
各自,かくじ,wnja:10203839-n,core
合唱,がっしょう,wnja:07050177-n,core
合格,ごうかく,wnja:00065575-n,core
同僚,どうりょう,wnja:07284848-n,core
同志,どうし,wnja:09935990-n,core
味方,みかた,wnja:05143300-n,core
味覚,みかく,wnja:00882702-n,core
命令,めいれい,wnja:06539770-n,core
商人,しょうにん,wnja:10309896-n,core
嗅覚,きゅうかく,wnja:05658603-n,core
団扇,うちわ,wnja:03320046-n,core
図書,としょ,wnja:02870092-n,core
図表,ずひょう,wnja:03186399-n,core
国王,こくおう,wnja:10231515-n,core
土産,みやげ,wnja:05813822-n,core
地球,ちきゅう,wnja:09270894-n,core
地理,ちり,wnja:06122178-n,core
坊や,ぼうや,wnja:09871229-n,core
執筆,しっぴつ,wnja:00614224-n,core
報道,ほうどう,wnja:05192897-n,core
墓場,はかば,wnja:08521623-n,core
売上,うりあげ,wnja:13260190-n,core
売店,ばいてん,wnja:02874086-n,core
夕立,ゆうだち,wnja:11502497-n,core
夕食,ゆうしょく,wnja:07575726-n,core
夕飯,ゆうはん,wnja:07575726-n,core
外交,がいこう,wnja:07148573-n,core
外出,がいしゅつ,wnja:00308370-n,core
多少,たしょう,wnja:13762717-n,core
夜中,よなか,wnja:15167027-n,core
夜間,やかん,wnja:15167027-n,core
大工,だいく,wnja:09896685-n,core
大根,だいこん,wnja:07735687-n,core
大皿,おおざら,wnja:03206908-n,core
天候,てんこう,wnja:11524662-n,core
太陽,たいよう,wnja:09450163-n,core
夫妻,ふさい,wnja:07989373-n,core
夫婦,ふうふ,wnja:07985628-n,core
失敗,しっぱい,wnja:00066636-n,core
女子,じょし,wnja:10084295-n,core
女性,じょせい,wnja:06328996-n,core
女王,じょおう,wnja:02313008-n,core
姉妹,しまい,wnja:10602985-n,core
姓名,せいめい,wnja:06333653-n,core
姿勢,しせい,wnja:05002822-n,core
婦人,ふじん,wnja:10242791-n,core
嫉妬,しっと,wnja:07550079-n,core
嫌悪,けんお,wnja:07502669-n,core
子孫,しそん,wnja:08369220-n,core
字幕,じまく,wnja:06346220-n,core
字引,じびき,wnja:06418901-n,core
学期,がっき,wnja:15225249-n,core
定食,ていしょく,wnja:06497331-n,core
宝石,ほうせき,wnja:03596787-n,core
実家,じっか,wnja:03259505-n,core
家内,かない,wnja:10780632-n,core
家賃,やちん,wnja:13295657-n,core
寝台,しんだい,wnja:02818832-n,core
寝室,しんしつ,wnja:02821627-n,core
寝巻,ねまき,wnja:03825080-n,core
寝言,ねごと,wnja:00285387-n,core
対処,たいしょ,wnja:01134861-n,core
対照,たいしょう,wnja:00651813-n,core
将来,しょうらい,wnja:15121625-n,core
将棋,しょうぎ,wnja:00505726-n,core
尊敬,そんけい,wnja:01218766-n,core
尊重,そんちょう,wnja:01228877-n,core
小屋,こや,wnja:02919792-n,core
小川,おがわ,wnja:09206896-n,core
小指,こゆび,wnja:05567727-n,core
小鳥,ことり,wnja:01503061-n,core
